0,1,2,3,4,5,6,7
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013392606368833904, 0.0, 0.01507852887295048, 0.014781186179714184, 0.028927914573004414, 0.012933911100651693, 0.0]","[0.0, 0.02002590146938389, 0.017000537060100938, 0.0, 0.02299761894260926, 0.017411390048127907, 0.01696782807431403, 0.0]","[0.0, 0.019752600720556485, 0.02392322980119629, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, 0.0]","[0.0, 0.012412387919138327, 0.012511374967115765, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010317263331933078, 0.007222359351941402, 0.017863791481930152, 0.01557085398761498, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.017834091264344397, 0.018665592503095754, 0.01800278333411768, 0.013579742103411879, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.013632642542667557, 0.014998556564709982, 0.028927914573004414, 0.01309558498940984, 0.0]","[0.0, 0.020430465135432053, 0.017207860682785098, 0.0, 0.02299761894260926, 0.017411390048127907, 0.016178626768531986, 0.0]","[0.0, 0.017796897678917227, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, 0.0]","[0.0, 0.012722697617116785, 0.012362430027031052, 0.01536107553012707, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010317263331933078, 0.010142036536768777, 0.017863791481930152, 0.015763086752894177, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018665592503095754, 0.01777490000077442, 0.01375163757307532, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.013012976972546305, 0.014563815794718387, 0.02928951350516697, 0.012772237211893547, 0.0]","[0.0, 0.019014492304263494, 0.017000537060100938, 0.0, 0.023285089179391875, 0.017629032423729506, 0.01578402611564096, 0.0]","[0.0, 0.01368992129147479, 0.02452888118856835, 0.023285089179391875, 0.0, 0.012701491521142132, 0.014898541825110256, 0.0]","[0.0, 0.012567542768127556, 0.011915595206776918, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010188297540283916, 0.011371374298801355, 0.017863791481930152, 0.01557085398761498, 0.021082374482997924, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.01823066666746094, 0.013923533042738762, 0.019237479304691597, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.014665418492869646, 0.013911704639730998, 0.028927914573004414, 0.012448889434377256, 0.0]","[0.0, 0.016384828474950458, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017193747672526308, 0.015389425462749937, 0.0]","[0.0, 0.009974085512360203, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.014714609209985439, 0.0]","[0.0, 0.012412387919138327, 0.011766650266692207, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010059331748634751, 0.012754379281088007, 0.01764049408840603, 0.015378621222335784, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.018285587245720204, 0.018198952690518362, 0.01800278333411768, 0.01375163757307532, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.019003077483718413, 0.013911704639730998, 0.028927914573004414, 0.012448889434377256, 0.0]","[0.0, 0.012946037313541102, 0.016378566192048465, 0.0, 0.022710148705826643, 0.017193747672526308, 0.013219121871849305, 0.0]","[0.0, 0.009387374599868428, 0.024226055494882322, 0.022710148705826643, 0.0, 0.012391699045016713, 0.014714609209985439, 0.0]","[0.0, 0.012257233070149098, 0.011468760386522784, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016457025166406635, 0.0]","[0.0, 0.010188297540283916, 0.015827723686169453, 0.01764049408840603, 0.015378621222335784, 0.021082374482997924, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018198952690518362, 0.01800278333411768, 0.013923533042738762, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.02106862938412259, 0.014129075024726793, 0.028927914573004414, 0.012448889434377256, 0.0]","[0.0, 0.011327782649348464, 0.016171242569364308, 0.0, 0.02299761894260926, 0.017193747672526308, 0.01085151795450316, 0.0]","[0.0, 0.012320929162327311, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012546595283079423, 0.014714609209985439, 0.0]","[0.0, 0.012102078221159869, 0.011468760386522784, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010188297540283916, 0.018286399210234613, 0.017863791481930152, 0.015186388457056586, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.018285587245720204, 0.018198952690518362, 0.01800278333411768, 0.013923533042738762, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.021275184574163008, 0.015433297334701574, 0.028927914573004414, 0.012448889434377256, 0.0]","[0.0, 0.011934628148420704, 0.016171242569364308, 0.0, 0.02299761894260926, 0.017193747672526308, 0.012232620239621744, 0.0]","[0.0, 0.017014616462261524, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.01453067659486062, 0.0]","[0.0, 0.012102078221159869, 0.011170870506353361, 0.014981789714568377, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010188297540283916, 0.0161350581266776, 0.017863791481930152, 0.015186388457056586, 0.020822098254812765, 0.0, 0.0]","[0.0, 0.018099933391137454, 0.0180598392550323, 0.018432272596807058, 0.01823066666746094, 0.014095428512402204, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.020655519004041754, 0.01717226041466795, 0.028927914573004414, 0.0126105633231354, 0.0]","[0.0, 0.01375516464563742, 0.016378566192048465, 0.0, 0.02299761894260926, 0.017411390048127907, 0.01282452121895828, 0.0]","[0.0, 0.021512733458031813, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.01453067659486062, 0.0]","[0.0, 0.01194692337217064, 0.010575090746014515, 0.014981789714568377, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010317263331933078, 0.011371374298801355, 0.017863791481930152, 0.015186388457056586, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.0174211858889698, 0.0180598392550323, 0.018665592503095754, 0.018686433334147465, 0.014095428512402204, 0.019237479304691597, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.0200358534339205, 0.01934596426462592, 0.028927914573004414, 0.012772237211893547, 0.0]","[0.0, 0.017598519473094935, 0.016378566192048465, 0.0, 0.02299761894260926, 0.017629032423729506, 0.011246118607394185, 0.0]","[0.0, 0.02425071771632677, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012391699045016713, 0.01453067659486062, 0.0]","[0.0, 0.01194692337217064, 0.00997931098567567, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, 0.0]","[0.0, 0.010446229123582243, 0.009373700435498414, 0.017863791481930152, 0.015378621222335784, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.017873684223748236, 0.017608343273656492, 0.018898912409384454, 0.018458550000804205, 0.013923533042738762, 0.018999979560189232, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.013065957433008688, 0.0, 0.01941618786379925, 0.020867556959596495, 0.028927914573004414, 0.01309558498940984, -0.0]","[0.0, 0.02123959246752837, 0.016585889814732625, 0.0, 0.02299761894260926, 0.017411390048127907, 0.014402923830522376, -0.0]","[0.0, 0.023272866195507145, 0.024226055494882322, 0.02299761894260926, 0.0, 0.012546595283079423, 0.014714609209985439, 0.0]","[0.0, 0.012102078221159869, 0.01012825592576038, 0.015171432622347724, 0.012162938407875834, 0.0, 0.016253852016204086, -0.0]","[0.0, 0.010446229123582243, 0.009834702096260632, 0.01764049408840603, 0.01557085398761498, 0.020822098254812765, 0.0, -0.0]","[0.0, 0.018099933391137454, 0.017834091264344397, 0.018665592503095754, 0.01823066666746094, 0.013579742103411879, 0.018999979560189232, 0.0]"
